id,name,isin,symbol,from,to
14811539,2CRSI PROMESSES,FR0013341781,2CRSI,1971-01-06/P1D,2021-01-06T16:21:05.6862495+01:00
867867,AB Science,FR0010557264,AB,1971-01-06/P1D,2021-01-06T16:21:08.6746189+01:00
867126,ABC Arbitrage,FR0004040608,ABCA,1971-01-06/P1D,2021-01-06T16:21:11.6249792+01:00
11664393,Abéo,FR0013185857,ABEO,1971-01-06/P1D,2021-01-06T16:21:14.3108696+01:00
5830659,Abionyx Pharma SA,FR0012616852,ABNX,1971-01-06/P1D,2021-01-06T16:21:18.2843502+01:00
7024761,Abivax,FR0012333284,ABVX,1971-01-06/P1D,2021-01-06T16:21:21.3527286+01:00
255647,Acanthe Developpement,FR0000064602,ACAN,1971-01-06/P1D,2021-01-06T16:21:25.6612679+01:00
255882,Accor,FR0000120404,AC,1971-01-06/P1D,2021-01-06T16:21:35.0413939+01:00
866232,Acteos,FR0000076861,EOS,1971-01-06/P1D,2021-01-06T16:21:39.378927+01:00
866230,Actia Group,FR0000076655,ATI,1971-01-06/P1D,2021-01-06T16:21:42.445305+01:00
866101,ADL Partner,FR0000062978,ALP,1971-01-06/P1D,2021-01-06T16:21:45.5525653+01:00
1748170,Adocia,FR0011184241,ADOC,1971-01-06/P1D,2021-01-06T16:21:49.6970173+01:00
867158,Advenis,FR0004152874,ADV,1971-01-06/P1D,2021-01-06T16:21:53.1283664+01:00
14136664,ADVICENNE PROMESSE,FR0013296746,ADVIC,1971-01-06/P1D,2021-01-06T16:21:57.447759+01:00
75199,Aéroports de Paris,FR0010340141,ADP,1971-01-06/P1D,2021-01-06T16:22:01.2735295+01:00
64346,Air France-KLM,FR0000031122,AF,1971-01-06/P1D,2021-01-06T16:22:07.9091235+01:00
65005,Air Liquide,FR0000120073,AI,1971-01-06/P1D,2021-01-06T16:22:14.7454065+01:00
96008,AIRBUS,NL0000235190,AIR,1971-01-06/P1D,2021-01-06T16:22:18.0367037+01:00
867195,Akka Technologies,FR0004180537,AKA,1971-01-06/P1D,2021-01-06T16:22:20.9779731+01:00
866014,AKWEL,FR0000053027,MGIC,1971-01-06/P1D,2021-01-06T16:22:24.0872518+01:00
255528,Albioma,FR0000060402,ABIO,1971-01-06/P1D,2021-01-06T16:22:26.9602208+01:00
13637106,ALD S.A.,FR0013258662,ALD,1971-01-06/P1D,2021-01-06T16:22:30.1565085+01:00
72160,Alstom,FR0010220475,ALO,1971-01-06/P1D,2021-01-06T16:22:46.8152294+01:00
865908,Altaréa,FR0000033219,ALTA,1971-01-06/P1D,2021-01-06T16:22:52.0997099+01:00
255716,Alten,FR0000071946,ATE,1971-01-06/P1D,2021-01-06T16:22:55.3419964+01:00
7190778,Amoéba Biocide,FR0011051598,AMEBA,1971-01-06/P1D,2021-01-06T16:22:58.1332506+01:00
7072546,Amplitude Surgical,FR0012789667,AMPLI,1971-01-06/P1D,2021-01-06T16:23:00.8224898+01:00
8379136,Amundi,FR0004125920,AMUN,1971-01-06/P1D,2021-01-06T16:23:03.7101152+01:00
1184857,Aperam,LU0569974404,APAM,1971-01-06/P1D,2021-01-06T16:23:06.779742+01:00
13519350,ARCELORMITTAL S.A.,LU1598757687,MT,1971-01-06/P1D,2021-01-06T16:23:09.9030253+01:00
866283,Archos,FR0000182479,JXR,1971-01-06/P1D,2021-01-06T16:23:13.2103287+01:00
265438,Arkema,FR0010313833,AKE,1971-01-06/P1D,2021-01-06T16:23:16.513625+01:00
866211,Artprice.com,FR0000074783,PRC,1971-01-06/P1D,2021-01-06T16:23:22.3128375+01:00
5139985,ASSISTANCE TECH.+ET.DE MAT.EL.,FR0011992700,ATEME,1971-01-06/P1D,2021-01-06T16:23:31.4279077+01:00
866198,Assystem,FR0000074148,ASY,1971-01-06/P1D,2021-01-06T16:23:34.6832031+01:00
866233,AST Groupe,FR0000076887,ASP,1971-01-06/P1D,2021-01-06T16:23:37.4984623+01:00
125409,Atari,FR0010478248,ATA,1971-01-06/P1D,2021-01-06T16:23:40.6547388+01:00
255429,Atos,FR0000051732,ATO,1971-01-06/P1D,2021-01-06T16:23:43.5159961+01:00
866111,Aubay,FR0000063737,AUB,1971-01-06/P1D,2021-01-06T16:23:46.4542615+01:00
255347,Aurea,FR0000039232,AURE,1971-01-06/P1D,2021-01-06T16:23:49.6316599+01:00
10771758,Aures Technologies,FR0013183589,AURS,1971-01-06/P1D,2021-01-06T16:23:52.6009203+01:00
865902,Aviation Latécoère,FR0000032278,LAT,1971-01-06/P1D,2021-01-06T16:23:55.4870015+01:00
65038,AXA S.A.,FR0000120628,CS,1971-01-06/P1D,2021-01-06T16:24:04.4471659+01:00
1744880,Axway Software,FR0011040500,AXW,1971-01-06/P1D,2021-01-06T16:24:10.1826793+01:00
