id,name,isin,symbol,from,to
255882,Accor,FR0000120404,AC,1971-01-08/P1D,2021-01-08T10:42:18.0624941+01:00
65005,Air Liquide,FR0000120073,AI,1971-01-08/P1D,2021-01-08T10:42:18.7465552+01:00
96008,AIRBUS,NL0000235190,AIR,1971-01-08/P1D,2021-01-08T10:42:19.3616209+01:00
13519350,ARCELORMITTAL S.A.,LU1598757687,MT,1971-01-08/P1D,2021-01-08T10:42:19.9336723+01:00
255429,Atos,FR0000051732,ATO,1971-01-08/P1D,2021-01-08T10:42:20.5410482+01:00
65038,AXA S.A.,FR0000120628,CS,1971-01-08/P1D,2021-01-08T10:42:21.3141165+01:00
65147,BNP Paribas,FR0000131104,BNP,1971-01-08/P1D,2021-01-08T10:42:21.9491756+01:00
65028,Bouygues,FR0000120503,EN,1971-01-08/P1D,2021-01-08T10:42:22.6518274+01:00
255943,Capgemini,FR0000125338,CAP,1971-01-08/P1D,2021-01-08T10:42:23.3529001+01:00
65009,Carrefour,FR0000120172,CA,1971-01-08/P1D,2021-01-08T10:42:23.9857199+01:00
64515,Crédit Agricole,FR0000045072,ACA,1971-01-08/P1D,2021-01-08T10:42:24.5577679+01:00
65041,Danone,FR0000120644,BN,1971-01-08/P1D,2021-01-08T10:42:25.219834+01:00
255974,Dassault Systèmes,FR0000130650,DSY,1971-01-08/P1D,2021-01-08T10:42:25.8808987+01:00
71981,Engie,FR0010208488,ENGI,1971-01-08/P1D,2021-01-08T10:42:26.4559547+01:00
65079,Essilor,FR0000121667,EL,1971-01-08/P1D,2021-01-08T10:42:27.0580142+01:00
255435,Hermès International,FR0000052292,RMS,1971-01-08/P1D,2021-01-08T10:42:27.654069+01:00
255914,Kering,FR0000121485,KER,1971-01-08/P1D,2021-01-08T10:42:28.3161414+01:00
65018,L'Oréal,FR0000120321,OR,1971-01-08/P1D,2021-01-08T10:42:28.9691993+01:00
74306,Legrand,FR0010307819,LR,1971-01-08/P1D,2021-01-08T10:42:29.5172489+01:00
65053,LVMH MOET HENN. L. VUITTON SE,FR0000121014,MC,1971-01-08/P1D,2021-01-08T10:42:30.2233165+01:00
65063,Michelin,FR0000121261,ML,1971-01-08/P1D,2021-01-08T10:42:30.9283878+01:00
65156,Orange,FR0000133308,ORA,1971-01-08/P1D,2021-01-08T10:42:31.5564489+01:00
65045,Pernod Ricard,FR0000120693,RI,1971-01-08/P1D,2021-01-08T10:42:32.220512+01:00
65074,Peugeot,FR0000121501,UG,1971-01-08/P1D,2021-01-08T10:42:32.6605482+01:00
255971,Publicis Groupe,FR0000130577,PUB,1971-01-08/P1D,2021-01-08T10:42:33.2956199+01:00
65153,Renault,FR0000131906,RNO,1971-01-08/P1D,2021-01-08T10:42:33.9146711+01:00
64879,Safran,FR0000073272,SAF,1971-01-08/P1D,2021-01-08T10:42:34.6380297+01:00
65104,Saint-Gobain,FR0000125007,SGO,1971-01-08/P1D,2021-01-08T10:42:35.3200995+01:00
65036,Sanofi,FR0000120578,SAN,1971-01-08/P1D,2021-01-08T10:42:35.9791535+01:00
65088,Schneider Electric,FR0000121972,SU,1971-01-08/P1D,2021-01-08T10:42:36.8220811+01:00
65145,Société Générale,FR0000130809,GLE,1971-01-08/P1D,2021-01-08T10:42:37.7041624+01:00
95999,STMicroelectronics,NL0000226223,STM,1971-01-08/P1D,2021-01-08T10:42:38.342228+01:00
255430,Teleperformance,FR0000051807,RCF,1971-01-08/P1D,2021-01-08T10:42:38.9622856+01:00
65067,Thales,FR0000121329,HO,1971-01-08/P1D,2021-01-08T10:42:39.6023538+01:00
65015,Total,FR0000120271,FP,1971-01-08/P1D,2021-01-08T10:42:40.28741+01:00
14737271,UNIBAIL-RODAMCO-WESTFIELD SE,FR0013326246,URW,1971-01-08/P1D,2021-01-08T10:42:40.9594834+01:00
255931,Veolia Environnement,FR0000124141,VIE,1971-01-08/P1D,2021-01-08T10:42:41.6465429+01:00
65111,VINCI S.A.,FR0000125486,DG,1971-01-08/P1D,2021-01-08T10:42:42.2746023+01:00
255957,Vivendi,FR0000127771,VIV,1971-01-08/P1D,2021-01-08T10:42:42.724644+01:00
5129554,Worldline,FR0011981968,WLN,1971-01-08/P1D,2021-01-08T10:42:43.205697+01:00
